Week Ending,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,CMS Data As of date,Race and Ethnicity
01/06/2024 12:00:00 AM,13.03,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
01/13/2024 12:00:00 AM,13.56,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
01/20/2024 12:00:00 AM,13.98,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
01/27/2024 12:00:00 AM,14.36,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
01/06/2024 12:00:00 AM,4.63,2024,1,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
01/13/2024 12:00:00 AM,4.83,2024,2,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
01/20/2024 12:00:00 AM,4.99,2024,3,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
01/27/2024 12:00:00 AM,5.14,2024,4,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
02/03/2024 12:00:00 AM,18.98,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
02/10/2024 12:00:00 AM,19.22,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
02/17/2024 12:00:00 AM,19.4,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
02/24/2024 12:00:00 AM,19.56,2024,8,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
02/03/2024 12:00:00 AM,19.84,2024,5,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
02/10/2024 12:00:00 AM,20.07,2024,6,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
02/17/2024 12:00:00 AM,20.26,2024,7,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
